"","BPS_MODEL","LABEL","count","percent"
"1","10060","Agriculture",1,1.91761908414513e-05
"2","10060","Barren or Sparse",52147,0.999980823809159
"3","10070","Agriculture",1,6.68136567114318e-05
"4","10070","Barren or Sparse",14966,0.999933186343289
"5","10110_20_29","A",15170,0.438616781356618
"6","10110_20_29","Agriculture",7,0.000202394032267391
"7","10110_20_29","B",835,0.0241427167061817
"8","10110_20_29","C",120,0.00346961198172671
"9","10110_20_29","D",9408,0.272017579367374
"10","10110_20_29","E",8124,0.234892731162898
"11","10110_20_29","UE",125,0.00361417914763199
"12","10110_20_29","Urban",797,0.0230440062453016
"13","10110_22","A",26,0.838709677419355
"14","10110_22","B",3,0.0967741935483871
"15","10110_22","C",2,0.0645161290322581
"16","10480_29","A",425,0.0900805426027978
"17","10480_29","B",45,0.00953793980500212
"18","10480_29","D",1,0.000211954217888936
"19","10480_29","E",4208,0.891903348876643
"20","10480_29","Urban",39,0.0082662144976685
"21","10490_16_22","A",534,0.776162790697674
"22","10490_16_22","B",90,0.130813953488372
"23","10490_16_22","C",63,0.0915697674418605
"24","10490_16_22","UE",1,0.00145348837209302
"25","10490_19_20_21_23_28_29","A",3456,0.271292880131878
"26","10490_19_20_21_23_28_29","Agriculture",6,0.000470994583562289
"27","10490_19_20_21_23_28_29","B",4252,0.333778161551142
"28","10490_19_20_21_23_28_29","C",4855,0.381113117199152
"29","10490_19_20_21_23_28_29","UE",161,0.0126383546589214
"30","10490_19_20_21_23_28_29","Urban",9,0.000706491875343434
"31","10500_22","A",10,0.163934426229508
"32","10500_22","C",51,0.836065573770492
"33","10510_15_16_17_22_23_24_25","A",1,0.142857142857143
"34","10510_15_16_17_22_23_24_25","C",1,0.142857142857143
"35","10510_15_16_17_22_23_24_25","D",5,0.714285714285714
"36","10510_29","C",2,0.00190294957183635
"37","10510_29","D",93,0.0884871550903901
"38","10510_29","E",920,0.875356803044719
"39","10510_29","UN",36,0.0342530922930542
"40","10540_22","A",20,0.357142857142857
"41","10540_22","C",26,0.464285714285714
"42","10540_22","E",10,0.178571428571429
"43","10540_29","A",109618,0.285782814654914
"44","10540_29","Agriculture",76,0.000198138023990343
"45","10540_29","B",165,0.000430168078400088
"46","10540_29","C",11739,0.030604503468719
"47","10540_29","D",155119,0.40440752820208
"48","10540_29","E",75103,0.195799473891405
"49","10540_29","UE",465,0.00121229185730934
"50","10540_29","UN",29533,0.0769948718750896
"51","10540_29","Urban",1753,0.00457020994809305
"52","10550_29","A",212328,0.0796779379382084
"53","10550_29","Agriculture",145,5.44125174307685e-05
"54","10550_29","B",27770,0.0104209352348444
"55","10550_29","C",59737,0.0224168314052539
"56","10550_29","D",357976,0.134333623033081
"57","10550_29","E",1844228,0.69206267721594
"58","10550_29","UE",333,0.000124961160720317
"59","10550_29","UN",150643,0.0565301025056777
"60","10550_29","Urban",11668,0.00437851898884281
"61","10560_29","D",1,0.125
"62","10560_29","E",7,0.875
"63","10570_29","A",2003,0.266924307036247
"64","10570_29","B",154,0.0205223880597015
"65","10570_29","C",4466,0.595149253731343
"66","10570_29","UN",881,0.117404051172708
"67","10610_20_29","A",38223,0.224616559910678
"68","10610_20_29","Agriculture",21,0.000123406005758947
"69","10610_20_29","B",557,0.00327319739084445
"70","10610_20_29","C",82652,0.485702532761356
"71","10610_20_29","D",48046,0.282341188223541
"72","10610_20_29","UE",220,0.00129282482223659
"73","10610_20_29","Urban",451,0.002650290885585
"74","10620_10_19_21_29_31","A",17169,0.956436967299872
"75","10620_10_19_21_29_31","Agriculture",3,0.000167121608824021
"76","10620_10_19_21_29_31","B",157,0.00874603086179043
"77","10620_10_19_21_29_31","C",23,0.00128126566765083
"78","10620_10_19_21_29_31","D",247,0.0137596791265111
"79","10620_10_19_21_29_31","E",295,0.0164336248676954
"80","10620_10_19_21_29_31","UE",12,0.000668486435296084
"81","10620_10_19_21_29_31","Urban",45,0.00250682413236031
"82","10660_29","A",4,0.142857142857143
"83","10660_29","UN",24,0.857142857142857
"84","10720_22_29","A",41,0.188940092165899
"85","10720_22_29","B",173,0.797235023041475
"86","10720_22_29","UE",3,0.0138248847926267
"87","10801_21_22_28","A",9,1
"88","10802_21_22_28","A",1763,0.481430912069907
"89","10802_21_22_28","B",971,0.265155652648826
"90","10802_21_22_28","Barren or Sparse",1,0.000273074822501365
"91","10802_21_22_28","C",902,0.246313489896232
"92","10802_21_22_28","UE",3,0.000819224467504096
"93","10802_21_22_28","UN",22,0.00600764609503004
"94","10850_29_30","Urban",21,1
"95","10860_29","A",2302,0.0181512817075767
"96","10860_29","Agriculture",96,0.000756960488239515
"97","10860_29","B",1706,0.013451818676423
"98","10860_29","C",67932,0.535644165490487
"99","10860_29","UE",1323,0.0104318617285508
"100","10860_29","UN",53347,0.420641366313681
"101","10860_29","Urban",117,0.000922545595041909
"102","10861_22","B",1,1
"103","11060_20_21_29","Urban",1,1
"104","11170_29","A",518,0.190581309786608
"105","11170_29","Agriculture",1,0.000367917586460633
"106","11170_29","B",1,0.000367917586460633
"107","11170_29","C",50,0.0183958793230316
"108","11170_29","D",368,0.135393671817513
"109","11170_29","E",22,0.00809418690213392
"110","11170_29","UE",3,0.0011037527593819
"111","11170_29","UN",1755,0.645695364238411
"112","11250_20_29_30_31_33","A",5170,0.37055619266055
"113","11250_20_29_30_31_33","Agriculture",21,0.00150516055045872
"114","11250_20_29_30_31_33","B",165,0.0118262614678899
"115","11250_20_29_30_31_33","C",7275,0.521430619266055
"116","11250_20_29_30_31_33","UE",104,0.00745412844036697
"117","11250_20_29_30_31_33","UN",1150,0.0824254587155963
"118","11250_20_29_30_31_33","Urban",67,0.00480217889908257
"119","11260_20_29_33","A",715728,0.477232493213855
"120","11260_20_29_33","Agriculture",255,0.000170028678170385
"121","11260_20_29_33","B",217328,0.144909774782013
"122","11260_20_29_33","Barren or Sparse",2,1.33355826015988e-06
"123","11260_20_29_33","C",429885,0.286638346334415
"124","11260_20_29_33","UE",6078,0.00405268355262588
"125","11260_20_29_33","UN",130016,0.0866919553764735
"126","11260_20_29_33","Urban",455,0.000303384504186373
"127","11260_22","A",3450,0.341347580884535
"128","11260_22","Agriculture",8,0.000791530622340952
"129","11260_22","B",1187,0.117443356089839
"130","11260_22","C",2961,0.292965271593945
"131","11260_22","D",2431,0.240526367863857
"132","11260_22","UE",10,0.00098941327792619
"133","11260_22","UN",58,0.0057385970119719
"134","11260_22","Urban",2,0.000197882655585238
"135","11390_29","A",234,0.00868081317702923
"136","11390_29","Agriculture",69,0.00255972696245734
"137","11390_29","B",6989,0.259274373052382
"138","11390_29","UE",273,0.0101276153732008
"139","11390_29","UN",19386,0.719171983973883
"140","11390_29","Urban",5,0.000185487461047633
"141","11400_29","A",159636,0.442443979434875
"142","11400_29","Agriculture",8,2.21726417316833e-05
"143","11400_29","B",98548,0.273133687171741
"144","11400_29","Barren or Sparse",10,2.77158021646041e-05
"145","11400_29","UE",89,0.000246670639264977
"146","11400_29","UN",102452,0.283953936336802
"147","11400_29","Urban",62,0.000171837973420546
"148","11410_29_30","A",11828,0.125454757586364
"149","11410_29_30","Agriculture",1077,0.0114232984376492
"150","11410_29_30","B",27595,0.292688876868086
"151","11410_29_30","Barren or Sparse",2103,0.0223056607375823
"152","11410_29_30","UE",1263,0.0133961243516721
"153","11410_29_30","UN",49875,0.529003722913418
"154","11410_29_30","Urban",540,0.00572755910522799
"155","11450_29","Urban",13,1
"156","11490_29","B",1,0.0454545454545455
"157","11490_29","C",10,0.454545454545455
"158","11490_29","UN",11,0.5
"159","11530_20_22_29_30","Barren or Sparse",1,1
"160","11590_22","A",720,0.896637608966376
"161","11590_22","B",81,0.100871731008717
"162","11590_22","UE",2,0.0024906600249066
"163","11590_29","A",22895,0.155976428109139
"164","11590_29","Agriculture",273,0.00185986306502708
"165","11590_29","C",82350,0.56102462785707
"166","11590_29","UE",326,0.00222093538168069
"167","11590_29","UN",40789,0.277882617433661
"168","11590_29","Urban",152,0.00103552815342167
"169","11600_20_29","A",91282,0.44648246244748
"170","11600_20_29","Agriculture",21,0.000102716107353006
"171","11600_20_29","B",110224,0.539132391279892
"172","11600_20_29","Barren or Sparse",72,0.000352169510924592
"173","11600_20_29","UE",74,0.000361951997339164
"174","11600_20_29","Urban",2774,0.0135683086570114
"175","11620_29_30","A",17,0.00299823633156966
"176","11620_29_30","Agriculture",35,0.00617283950617284
"177","11620_29_30","B",3725,0.656966490299824
"178","11620_29_30","E",1132,0.199647266313933
"179","11620_29_30","UE",26,0.00458553791887125
"180","11620_29_30","UN",665,0.117283950617284
"181","11620_29_30","Urban",70,0.0123456790123457
"182","11660_22","A",15,0.454545454545455
"183","11660_22","C",1,0.0303030303030303
"184","11660_22","D",5,0.151515151515152
"185","11660_22","E",12,0.363636363636364
"186","11660_29","A",255059,0.232442358516358
"187","11660_29","Agriculture",423,0.000385491661350588
"188","11660_29","B",1505,0.00137154834594003
"189","11660_29","C",18961,0.0172796865032352
"190","11660_29","D",217611,0.198314954889274
"191","11660_29","E",598946,0.545836143260731
"192","11660_29","UE",695,0.000633372824204866
"193","11660_29","Urban",4100,0.00373644399890641
"194","11791_29_30","A",3888,0.196423158532889
"195","11791_29_30","Agriculture",10,0.000505203597049611
"196","11791_29_30","B",28,0.00141457007173891
"197","11791_29_30","C",1511,0.0763362635141962
"198","11791_29_30","D",5949,0.300545619884814
"199","11791_29_30","E",1988,0.100434475093463
"200","11791_29_30","UE",191,0.00964938870364757
"201","11791_29_30","UN",6229,0.314691320602203
"202","11792_29_30","A",2506,0.115112540192926
"203","11792_29_30","Agriculture",76,0.00349104271933854
"204","11792_29_30","B",1,4.59347726228755e-05
"205","11792_29_30","Barren or Sparse",60,0.00275608635737253
"206","11792_29_30","C",617,0.0283417547083142
"207","11792_29_30","D",9128,0.419292604501608
"208","11792_29_30","UE",1568,0.0720257234726688
"209","11792_29_30","UN",7813,0.358888378502526
"210","11792_29_30","Urban",1,4.59347726228755e-05
"211","13850_29_30","A",375,0.137161667885881
"212","13850_29_30","B",2,0.000731528895391368
"213","13850_29_30","C",1404,0.51353328456474
"214","13850_29_30","UN",949,0.347110460863204
"215","13850_29_30","Urban",4,0.00146305779078274
"216","na","Barren or Sparse",3592,0.11003890573783
"217","na","Snow / Ice",1571,0.0481267040406825
"218","na","Water",27480,0.841834390221487
